Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
Dead Shadows,Frances,Chris' neighbors become increasingly violent as they mutate into something from beyond this world after a comet passes the Earth.,2012-09-09,3.704,32,3.7,0,0,75,"Horror, Science Fiction, Thriller",France,NOT RATED,David Cholewa,Fabian Wolfrom|Blandine Marmigère|John Fallon|Rurik Sallé|Johanna Seror|Sylvain Dubois|Dominique Maud|Baya Rehaz|Ludovic Bastide|Claude Jules|Terence Missala|Norbert Ferrer|Margaux Devy|Clément Noblecourt|Gilles Barret,Desconocido,Terror de ciencia ficción
Alena,Sueco,"When Alena arrives at her new elite boarding school, Filippa and the other girls start to harass her. But Alena’s best friend Josefin won’t let her take anymore beating. If she won’t strike back, Josefin will do it for her. Hard.",2015-11-13,3.691,31,5.1,0,0,83,"Drama, Horror, Thriller",Sweden,TV-MA,Daniel di Grado,Amalia Holm|Molly Nutley|Felice Jankell|Rebecka Nyman|Fanny Klefelt|Marie Senghore|Helena Af Sandeberg|Johan Ehn|Ulrika Ellemark|Malin Persson|Max Nilén,Desconocido,Terror psicológico
Reaper,Ingles,Criminals and a beautiful but cunning hitchhiker must battle a supernatural force known as the Reaper.,2014-10-06,3.688,50,5.6,0,0,90,"Crime, Horror, Science Fiction",USA,NOT RATED,Wen-Han Shih,Danny Trejo|Vinnie Jones|Jake Busey|Shayla Beesley|James Jurdi|Christopher Judge|Justin Henry|William Shockley|Gabriel Jarret|Mike Michaels|Ian Fisher|Dustin Aremburg|Shay Moulder|Joshua Neyman|Michael Rudie,Desconocido,Terror de ciencia ficción
Dead Season,Ingles,"It has been over one year since the start of the outbreak. Our society has collapsed and the world has descended into chaos. Elvis and Tweeter are two of the last people left alive, and band together to flee the United States for a remote island somewhere in the Caribbean. On the island, they find a new community struggling to hold out against an army of corpses. They can join this band of survivors-- but only if they can do what must be done for the good of the group.",2012-05-15,3.677,47,4.7,0,0,86,Horror,USA,UNRATED,Adam Deyoe,Scott Peat|Marissa Merrill|James C. Burns|Corsica Wilson|Marc L. Fusco|Todd Pritchett|Grant Beijon|Kevin O. Matta|Anna Vawser|Greg Weisman|Leishla M. Perez Figeroa|Sean McDonald|Dave Wilhoit|Barbara Kerford|Carmen Pérez Røsnes,"Burbank, California, USA",Terror puro
Man Vs.,Ingles,"As host of his own hit TV series, 'MAN VS', Doug Woods is forced to fend for himself for five days in remote locations with no crew, food, or water, only the cameras he carries on his back to film his experiences. Doug's in the remote woods for a routine episode, until he's awoken by an earth-shaking crash. Things get weirder as it becomes clear Doug isn't alone. Someone or something is watching him.",2015-06-02,3.672,55,5.6,1500000,0,87,"Horror, Science Fiction, Thriller",Canada,NOT RATED,Adam Massey,Chris Diamantopoulos|Chloe Bradt|Michael Cram|Kelly Fanson|Sam Kalilieh|Alex Karzis|Constantine Meglis|Drew Nelson|Kate Ziegler,"Rockwood Conservation Area, Ontario, Canada",Terror de ciencia ficción
Greystone Park,Ingles,"In October 2009, the filmmakers went into an abandoned psychiatric hospital to explore the 'haunted' institution, famous for its radical treatment of patients with mental illness. Electroshock, insulin therapy, and lobotomies were commonplace. Once inside, the filmmakers quickly discovered that they were not alone.",2012-09-06,3.668,21,3.8,2000000,0,82,"Horror, Thriller",USA,R,Sean Stone,Sean Stone|Alexander Wraith|Ella Lentini|John Schramm|Monique Zordan|Oliver Stone|Monique van Vooren|Jessica Lentini|Michael Stone|Bruce Payne|Pete Antico|Coralie Charriol Paul|Lauren Berlingeri|Zana Markelson|Nicole Seidel,"Parsippany, New Jersey, USA",Slasher
Classroom 6,Ingles,"A local reporter and her assembled TV crew go into a school haunted by a horrific past. The team spends the night locked inside the building, capturing any and everything they find.",2015-04-14,3.666,23,4.8,0,0,76,Horror,USA,NOT RATED,Jonas Odenheimer,Valentina Kolaric|Mike McLaughlin|Maurice Mejia|Vince Major|Victor Manso|Jessica Amal Rice|Paul Thomas Arnold|Craig Cranic|Matt Poe|Wesley Rice|Jean-Louis Darville|Caroline Guivarch|Lauren Tess|Amanda Lee Gunnell|Devin Dygert,"Glendale, California, USA",Terror puro
Apparition,Ingles,"A group of millennials experimenting with a spiritually guided app successfully connect to the other-world and are ultimately guided to The Preston Castle. This ominous, historic site of murder and torture is connected to each of them in ways they’ll soon discover, thanks to the dead. The film is based on the shockingly true events of The Preston School of Industry.",2019-12-27,3.657,22,5.3,0,0,83,Horror,USA,NOT RATED,Quinn Saunders,Katrina Law|Jody Quigley|Lili Bordán|Jarett Armstrong|Rebeka Choudhury|Airen DeLaMater|Dave Droxler|Joseph Forsstrom|Pete Postiglione|Megan Rose|Thomas Roy|Tom Settefrati|Margo Trovei,"Philadelphia, Pennsylvania, USA",Terror puro
The Device,Ingles,"Abby and Rebecca Powell haven't seen each other since a traumatic event in their youth ripped them apart. Reunited for the first time in over a decade, the sisters take a trip to spread their mother's ashes at a secluded lake. As the sisters reconnect and try to heal old wounds, something waits in the nearby woods. A strange object, made not by the hands of man, beckons them to it. As they begin to try and unlock its secrets, Abby is plagued by nightmares of an alien presence that seem all too real. Little do the sisters realize that this object is actually a device, one with a purpose too horrible to comprehend. As the events of the past and the present begin to merge, new discoveries will threaten to tear apart their newly reformed family, and the inhuman creators of the device will attempt to finish a terrible experiment begun years before.",2014-12-16,3.652,34,3.5,0,0,90,"Horror, Science Fiction, Thriller",USA,NOT RATED,Jeremy Berg,Angela DiMarco|David S. Hogan|Kate Alden|Gabriel Congdon|Lorraine Montez|Ben Andrews|Morgen Johnson|Russell Hodgkinson,"Seattle, Washington, USA",Terror de ciencia ficción
Stalled,Ingles,"It's Christmas Eve, and a soon-to-be-shit-canned maintenance gopher (Dan Palmer) is changing light bulbs and cleaning toilets instead of drinking egg nog and making out with drunk receptionists at the annual office party. Unfortunately for this forlorn floor-sweeper, he chooses to use the ladies restroom the very second a zombie outbreak occurs! Will he bowl us over and flush away the undead or (like in his pre-apocalypse life) simply remain ...Stalled?",2013-08-24,3.651,55,5.0,0,0,84,"Comedy, Horror",USA,NOT RATED,Christian James,Dan Palmer|Antonia Bernath|Tamaryn Payne|Mark Holden|Giles Alderson|Sarah Suzanne Biggins|Victoria Broom|Marcus Kelly|Victoria Eldon|Chris R. Wright|Rick Edwards|Russell Biles|Ryan Ayley|Matt Brothers|Hannah Coley,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",Terror cómico
Compound Fracture,Ingles,"Michael Wolffsen (Tyler Mane) receives an urgent phone call and takes his nephew and fiancee and makes the journey home to his only other living relative: his estranged, eccentric (and extremely paranoid) father, Gary (Muse Watson), who is obsessed with building an unassailable compound. Once they arrive at Gary’s modest home, surrounded by acres and acres of grounds full of cameras and other security sensors, Michael is surprised and concerned to learn that his father is in the early stages of dementia.  The house is now also covered in supernatural and occult symbols. Welcome to the compound, COMPOUND FRACTURE. Will the stronghold that was designed to save them be their everlasting tomb?",2013-03-14,3.649,14,4.7,0,0,90,"Horror, Thriller",Philippines,TV-MA,Anthony J. Rickert-Epstein,Tyler Mane|Muse Watson|Derek Mears|Leslie Easterbrook|Renae Geerlings|Alex Saxon|Susan Angelo|Jelly Howie|Daniel Roebuck|Todd Farmer|Wes Weitzenhoffer|Robert Ziglar|Caitlin Martini|Maysen Michaels|Aaron Epstein,Desconocido,Slasher
The Lost Tree,Ingles,"After a serious traumatic accident, a man leaves his old life behind and moves to an isolated cabin to start over. He soon learns of the surroundings of the area and its dangerous past.",2015-09-01,3.646,2,5.0,0,0,88,"Drama, Horror, Thriller",USA,NOT RATED,Brian A. Metcalf,Lacey Chabert|Scott Grimes|Michael Madsen|Thomas Ian Nicholas|Clare Kramer|Anna Sophia Berglund|Brian A. Metcalf|Chris Kos|Jason James|Riccardo Suriano|Allison Poe,Desconocido,Terror psicológico
Drink Me,Ingles,"James and Andy, a sexy gay couple, seem to have everything they ever dreamed of…but things are about to change. Andy loses his job and they take in a handsome stranger called Sebastian. Nightmares come to life as Andy realizes that Sebastian is hiding a dark secret. Could Sebastian be the killer stalking the streets of their neighborhood? A classically sexy thriller- with a delicious vampiric touch, DRINK ME is a highly erotic and exciting film.",2015-04-14,3.641,15,4.6,1327,0,74,"Drama, Horror",USA,NOT RATED,Daniel Mansfield,Chris Ellis-Stanton|Emmett Friel|Darren Munn,Desconocido,Terror psicológico
Omnivores,Ingles,Marcos Vela is a prestigious gastronomic journalist who accepts the request of an independent publisher to write an article on the recent emergence of the Clandestine Restaurants.,2013-09-10,3.636,29,5.4,0,0,90,"Horror, Thriller",Spain,NOT RATED,Óscar Rojo,Ángel Acero|Fernando Albizu|Carina Björne|Mario de la Rosa|Marta Flich|Ismael Fritschi|Darío Frías|Sara Gómez|Esther Lara|Alberto Jo Lee|Aitor Legardón|Paco Manzanedo|Elisa Matilla|Rebeca Moreno|Guillermo Pardo Gil,"Madrid Film, Madrid, Spain",Slasher
Don't Click,Coreano,"A horror movie about the mysterious happenings that happen to a pair of sisters after watching an unidentified video. Directed by Kim Tae-kyeong, Park Bo-yeong plays Se-hee who tries to save her sister Jeong-mi, her boyfriend Joo Won and Kang Byeol plays the sister.",2012-05-30,3.632,32,5.5,0,0,93,"Crime, Horror, Mystery",South Korea,NOT RATED,Tae-kyeong Kim,Lee Malg Eum|Choi Ji Heon|Lee Yoo Joo|Won Joo|Byeol Kang|Namhee Kwon|Bo-young Park,Desconocido,Terror psicológico
