Titulo,Idioma,Sinopsis,Fecha_estreno,Popularidad,Numero_votos,Promedio_votos,Presupuesto,Ingresos,Duracion,Generos,Pais_ estreno,Clasificacion,Director,Reparto,Lugares_ rodaje,Subgeneros
Demonic,Ingles,A young woman unleashes terrifying demons when supernatural forces at the root of a decades-old rift between mother and daughter are ruthlessly revealed.,2021-07-29,110.83,153,4.9,0,0,104,"Drama, Horror, Science Fiction",USA,R,Will Canon,Maria Bello|Frank Grillo|Cody Horn|Dustin Milligan|Scott Mechlowicz|Megan Park|Aaron Yoo|Alex Goode|Terence Rosemore|Jesse Steccato|Meyer DeLeeuw|Griff Furst|Thomas Francis Murphy|Ashton Leigh|Katarina Boudreaux,"Baton Rouge, Louisiana, USA",Terror de ciencia ficción
Legion,Ingles,"When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.",2010-01-21,110.404,2190,5.8,26000000,67918658,100,"Action, Fantasy, Horror",USA,NOT RATED,William Peter Blatty,George C. Scott|Ed Flanders|Brad Dourif|Scott Wilson|Nancy Fish|Peggy Alston|Ryan Paul Amick|Cherie Baron|Barbara Baxley|James Burgess|Grand L. Bush|Amelia Campbell|Harry Carey Jr.|Alexis Chieffet|John Coe,"The Tombs - 1226 36th Street NW, Georgetown, Washington, District of Columbia, USA",Terror sobrenatural
A Haunted House,Ingles,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",2013-01-11,108.186,1499,5.8,2500000,60141683,86,"Comedy, Horror",USA,R,Michael Tiddes,Marlon Wayans|Marlene Forte|Essence Atkins|David Koechner|Dave Sheridan|Nick Swardson|Alanna Ubach|Andrew Daly|J.B. Smoove|Robin Thede|Jordenn Thompson|Affion Crockett|Cedric the Entertainer,"Stevenson Ranch, California, USA",Terror cómico
It,Ingles,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",2017-09-06,106.786,16900,7.2,35000000,701842551,135,"Fantasy, Horror",USA,R,Andy Muschietti,Jaeden Lieberher|Jeremy Ray Taylor|Sophia Lillis|Finn Wolfhard|Chosen Jacobs|Jack Dylan Grazer|Wyatt Oleff|Bill Skarsgård|Nicholas Hamilton|Jake Sim|Logan Thompson|Owen Teague|Jackson Robert Scott|Stephen Bogaert|Stuart Hughes,"Toronto, Ontario, Canada",Terror sobrenatural
The Remaining,Ingles,"When a group of close-knit friends assemble for the marriage of Skylar and Dan, they have no idea they will witness The Rapture and face a series of catastrophic events turning the celebration into a life-or-death struggle.",2014-08-25,106.016,285,5.7,0,1169603,88,"Horror, Thriller",Philippines,PG-13,Casey La Scala,Johnny Pacar|Shaun Sipos|Bryan Dechart|Alexa PenaVega|Italia Ricci|Liz E. Morgan|Kimberley Drummond|John Pyper-Ferguson|Kim Pacheco|John Keenan|Nina Repeta|Judd Lormand|Hayley Lovitt|Roy Feaster|Erin Murphy,"Wilmington, North Carolina, USA",Slasher
Abraham Lincoln: Vampire Hunter,Ingles,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",2012-06-20,103.0,2855,5.7,69000000,116471580,94,"Action, Fantasy, Horror",USA,R,Timur Bekmambetov,Benjamin Walker|Dominic Cooper|Anthony Mackie|Mary Elizabeth Winstead|Rufus Sewell|Marton Csokas|Jimmi Simpson|Joseph Mawle|Robin McLeavy|Erin Wasson|John Rothman|Cameron M. Brown|Frank Brennan|Lux Haney-Jardine|Curtis Harris,"Second Line Stages, New Orleans, Louisiana, USA",Terror sobrenatural
Train to Busan,Coreano,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",2016-07-20,94.624,5939,7.8,8500000,87547518,118,"Action, Horror, Science Fiction, Thriller",South Korea,NOT RATED,Sang-ho Yeon,Yoo Gong|Yu-mi Jung|Dong-seok Ma|Su-an Kim|Eui-sung Kim|Woo-sik Choi|Sohee|Soo-jung Ye|Myung-shin Park|Gwi-hwa Choi|Seok-yong Jeong|Hyuk-jin Jang|Seong-soo Han|Do-im Woo|Hye-Yeong Moon,"Dongdaegu Station, Daegu, Yeongnam, South Korea",Terror de ciencia ficción
The Purge: Election Year,Ingles,"Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",2016-06-29,91.119,4614,6.4,10000000,118587880,105,"Action, Horror, Thriller",USA,R,James DeMonaco,Frank Grillo|Elizabeth Mitchell|Mykelti Williamson|Joseph Julian Soria|Betty Gabriel|Terry Serpico|Edwin Hodge|Kyle Secor|Barry Nolan|Liza Colón-Zayas|Ethan Phillips|Adam Cantor|Christopher James Baker|Jared Kemp|Brittany Mirabile,"Providence, Rhode Island, USA",Slasher
The Hunt,Ingles,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",2020-03-11,88.978,2477,6.7,14000000,42415898,90,"Action, Horror, Thriller",France,NOT RATED,Thomas Szczepanski,Guillaume Beylard|Zuriel De Peslouan|Sarah Lucide|Jellali Mouina|Enguerran Prieu,France,Slasher
Malignant,Ingles,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",2021-09-01,88.071,1647,6.9,40000000,24640084,111,"Horror, Mystery, Thriller",USA,NOT RATED,Brian Avenet-Bradley,Gary Cairns|Brad Dourif|Nick Nicotera|Sienna Farall|Stefan Avalos|Jennifer Blanc-Biehn|Dana Daurey|Tanner Davis|Ken Dickason|Karla Droege|Saidah Arrika Ekulona|Darren P. Leis|Thomas Loureiro|Suzan Meier|Trista Robinson,Desconocido,Terror psicológico
Split,Ingles,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",2016-11-15,85.707,15360,7.3,9000000,278454358,117,"Horror, Thriller",USA,PG-13,M. Night Shyamalan,James McAvoy|Anya Taylor-Joy|Betty Buckley|Haley Lu Richardson|Jessica Sula|Izzie Coffey|Brad William Henke|Sebastian Arcelus|Neal Huff|Ukee Washington|Ann Wood|Robert Michael Kelly|M. Night Shyamalan|Rosemary Howard|Jerome Gallman,"Sun Center Studios, Aston, Pennsylvania, USA",Slasher
Before I Wake,Ingles,An orphaned child's dreams—and nightmares—manifest physically as he sleeps.,2016-04-07,84.773,1560,6.4,0,3295624,97,"Drama, Fantasy, Horror, Thriller",USA,PG-13,Mike Flanagan,Kate Bosworth|Thomas Jane|Jacob Tremblay|Annabeth Gish|Topher Bousquet|Dash Mihok|Jay Karnes|Lance E. Nichols|Antonio Evan Romero|Kyla Deaver|Hunter Wenzel|Scottie Thompson|Jason Alan Smith|Michael Polish|Brett Luciana Murray,"Fairhope, Alabama, USA",Terror sobrenatural
Curse of Chucky,Ingles,"After the passing of her mother, Nica Pierce, a young woman in a wheelchair, is forced to deal with her sister, brother-in-law, niece and their nanny as they say their goodbyes to mother. But when people start turning up dead, Nica discovers the culprit might be a strange doll she received a few days earlier.",2013-10-04,82.858,1280,5.9,5000000,3800000,97,"Horror, Thriller",USA,R,Don Mancini,Chantal Quesnelle|Fiona Dourif|Jordan Gavaris|Danielle Bisutti|A Martinez|Maitland McConnell|Brennan Elliott|Summer H. Howell|Adam Hurtig|Darren Wall|Will Woytowich|Anne Leveille|Kally Berard|Kyle Nobess|Brad Dourif,"Winnipeg, Manitoba, Canada",Slasher
The Purge,Ingles,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",2013-05-31,81.585,7386,6.3,3000000,89328627,86,"Horror, Science Fiction, Thriller",USA,R,James DeMonaco,Ethan Hawke|Lena Headey|Max Burkholder|Adelaide Kane|Edwin Hodge|Rhys Wakefield|Tony Oller|Arija Bareikis|Tom Yi|Chris Mulkey|Tisha French|Dana Bunch|Peter Gvozdas|John Weselcouch|Alicia Vela-Bailey,"Chatsworth, Los Angeles, California, USA",Terror de ciencia ficción
Annabelle: Creation,Ingles,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",2017-08-03,81.021,4859,6.6,15000000,306515884,110,"Horror, Mystery, Thriller",USA,R,David F. Sandberg,Anthony LaPaglia|Samara Lee|Miranda Otto|Brad Greenquist|Lulu Wilson|Talitha Eliana Bateman|Stephanie Sigman|Mark Bramhall|Grace Fulton|Philippa Coulthard|Tayler Buck|Lou Lou Safran|Joseph Bishara|Alicia Vela-Bailey|Lotta Losten,"Los Angeles, California, USA",Terror psicológico
Hansel & Gretel: Witch Hunters,Ingles,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",2013-01-17,75.4,6015,6.0,50000000,226349749,88,"Action, Fantasy, Horror",USA,R,Tommy Wirkola,Jeremy Renner|Gemma Arterton|Famke Janssen|Pihla Viitala|Derek Mears|Robin Atkin Downes|Ingrid Bolsø Berdal|Joanna Kulig|Thomas Mann|Peter Stormare|Bjørn Sundquist|Rainer Bock|Thomas Scharff|Kathrin Kühnel|Cedric Eich,"Sächsische Schweiz, Saxony, Germany",Terror sobrenatural
Alien: Covenant,Ingles,"Bound for a remote planet on the far side of the galaxy, the crew of the colony ship 'Covenant' discovers what is thought to be an uncharted paradise, but is actually a dark, dangerous world—which has a sole inhabitant: the 'synthetic', David, survivor of the doomed Prometheus expedition.",2017-05-09,73.672,7298,6.1,97000000,240891763,122,"Horror, Mystery, Science Fiction",USA,R,Ridley Scott,Michael Fassbender|Katherine Waterston|Billy Crudup|Danny McBride|Demián Bichir|Carmen Ejogo|Jussie Smollett|Callie Hernandez|Amy Seimetz|Nathaniel Dean|Alexander England|Benjamin Rigby|Uli Latukefu|Tess Haubrich|Lorelei King,"Fox Studios, Moore Park, Sydney, New South Wales, Australia",Terror de ciencia ficción
Paranormal Activity: The Marked Ones,Ingles,"Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighbor’s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that won’t rest until it’s claimed his very soul.",2014-01-01,73.028,1235,5.4,5000000,86362372,84,"Horror, Thriller",USA,R,Christopher Landon,Andrew Jacobs|Jorge Diaz|Gabrielle Walsh|Renee Victor|Noemi Gonzalez|David Saucedo|Gloria Sandoval|Richard Cabral|Carlos Pratts|Juan Vasquez|Carlos Romeo Arana Figuera|Molly Ephraim|Brent Gutierrez|Alonso Alvarez|Chris Puckett,"Los Angeles, California, USA",Slasher
Goosebumps,Ingles,"After moving to a small town, Zach Cooper finds a silver lining when he meets next door neighbor Hannah, the daughter of bestselling Goosebumps series author R.L. Stine. When Zach unintentionally unleashes real monsters from their manuscripts and they begin to terrorize the town, it’s suddenly up to Stine, Zach and Hannah to get all of them back in the books where they belong.",2015-08-05,72.726,3302,6.3,58000000,158162788,103,"Adventure, Comedy, Horror",USA,PG,Rob Letterman,Jack Black|Dylan Minnette|Odeya Rush|Ryan Lee|Amy Ryan|Jillian Bell|Halston Sage|Steven Krueger|Keith Arthur Bolden|Amanda Lund|Timothy Simons|Ken Marino|Karan Soni|R.L. Stine|Caleb Emery,"Conyers, Georgia, USA",Terror cómico
Carrie,Ingles,"Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.",2002-11-04,71.769,379,6.1,0,0,132,"Drama, Horror, TV Movie",USA,R,Kimberly Peirce,Julianne Moore|Chloë Grace Moretz|Gabriella Wilde|Portia Doubleday|Zoë Belkin|Samantha Weinstein|Karissa Strain|Katie Strain|Ansel Elgort|Demetrius Joyette|Judy Greer|Barry Shabaka Henley|Arlene Mazerolle|Evan Gilchrist|Eddie Max Huband,"Pinewood Toronto Studios, Port Lands, Toronto, Ontario, Canada",Terror psicológico
The Witch,Ingles,"In 1630, a farmer relocates his family to a remote plot of land on the edge of a forest where strange, unsettling things happen. With suspicion and paranoia mounting, each family member's faith, loyalty and love are tested in shocking ways.",2015-01-27,69.655,5790,6.9,3500000,40423945,92,"Drama, Fantasy, Horror, Mystery",USA,R,Robert Eggers,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger|Lucas Dawson|Julian Richings|Bathsheba Garnett|Sarah Stephens|Daniel Chaudhry|Axtun Henry Dube|Athan Conrad Dube|Viv Moore|Karen Kaeja|Brandy Leary,"Kiosk, Ontario, Canada",Terror sobrenatural
Get Out,Ingles,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017-02-24,68.431,14721,7.6,4500000,255407969,104,"Horror, Mystery, Thriller",USA,R,Jordan Peele,Daniel Kaluuya|Allison Williams|Catherine Keener|Bradley Whitford|Caleb Landry Jones|Marcus Henderson|Betty Gabriel|Lakeith Stanfield|Stephen Root|LilRel Howery|Ashley LeConte Campbell|John Wilmot|Caren L. Larkey|Julie Ann Doan|Rutherford Cravens,"Alabama, USA",Terror psicológico
Annabelle,Ingles,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,2014-10-02,68.243,5341,5.7,6500000,257047661,99,Horror,USA,R,"John R. Leonetti, James Wan",Annabelle Wallis|Ward Horton|Tony Amendola|Alfre Woodard|Kerry O'Malley|Brian Howe|Eric Ladin|Ivar Brogger|Geoff Wehner|Gabriel Bateman|Shiloh Nelson|Sasha Sheldon|Camden Singer|Robin Pearson Rose|Keira Daniels,"Langham Apartments - 715 South Normandie Avenue, Los Angeles, California, USA",Terror puro
Insidious: Chapter 2,Ingles,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,2013-09-12,68.172,3528,6.7,5000000,161000000,106,"Horror, Thriller",USA,PG-13,James Wan,Patrick Wilson|Rose Byrne|Ty Simpkins|Lin Shaye|Barbara Hershey|Steve Coulter|Leigh Whannell|Angus Sampson|Andrew Astor|Hank Harris|Jocelin Donahue|Lindsay Seim|Danielle Bisutti|Tyler Griffin|Garrett Ryan,"Los Angeles, California, USA",Slasher
Underworld: Awakening,Ingles,"Having escaped years of imprisonment, vampire warrioress Selene finds herself in a changed world where humans have discovered the existence of both Vampire and Lycan clans and are conducting an all-out war to eradicate both immortal species. Now Selene must battle the humans and a frightening new breed of super Lycans to ensure the death dealers' survival.",2012-01-19,67.467,3573,6.3,70000000,160112671,88,"Action, Fantasy, Horror",USA,R,"Måns Mårlind, Björn Stein",Kate Beckinsale|Stephen Rea|Michael Ealy|Theo James|India Eisley|Sandrine Holt|Charles Dance|Kris Holden-Ried|Jacob Blair|Adam Greydon Reid|Catlin Adams|Robert Lawrenson|Lee Majdoub|John Innes|Tyler McClendon,"Simon Fraser University, Burnaby, British Columbia, Canada",Terror sobrenatural
Scouts Guide to the Zombie Apocalypse,Ingles,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",2015-10-23,66.029,1580,6.5,15000000,14860766,93,"Comedy, Horror",USA,R,Christopher Landon,Tye Sheridan|Logan Miller|Joey Morgan|Sarah Dumont|David Koechner|Halston Sage|Cloris Leachman|Niki Koss|Hiram A. Murray|Lukas Gage|Drew Droege|Patrick Schwarzenegger|Blake Anderson|Elle Evans|Matty Cardarople,"Santa Clarita, California, USA",Terror cómico
Sinister,Ingles,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity.",2012-03-29,65.319,4563,6.8,3000000,82515113,110,"Horror, Mystery, Thriller",USA,R,Scott Derrickson,Ethan Hawke|Juliet Rylance|Fred Dalton Thompson|James Ransone|Michael Hall D'Addario|Clare Foley|Rob Riley|Tavis Smiley|Janet Zappala|Victoria Leigh|Cameron Ocasio|Ethan Haberfield|Danielle Kotch|Blake Mizrahi|Nicholas King,"Los Angeles, California, USA",Terror psicológico
Truth or Dare,Ingles,"A harmless game of ""Truth or Dare"" among friends turns deadly when someone—or something—begins to punish those who tell a lie—or refuse the dare.",2018-04-12,63.521,3562,6.0,3500000,95330493,101,"Horror, Thriller",USA,NOT RATED,Jessica Cameron,Jessica Cameron|Ryan Kiser|Heather Dorff|Shelby Stehlin|Devanny Pinn|Brandon Van Vliet|Jesse Wilson|Buz Wallick|Grae Drake|Brett Wagner|Brian Olea|Ray C. Merrill|Patrick Bean|Tia Bean|Martina Bell,"Los Angeles, California, USA",Slasher
Underworld: Blood Wars,Ingles,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",2016-11-24,63.45,3221,5.8,35000000,81093313,91,"Action, Fantasy, Horror, Thriller",USA,R,Anna Foerster,Kate Beckinsale|Theo James|Tobias Menzies|Lara Pulver|Charles Dance|James Faulkner|Peter Andersson|Clementine Nicholson|Bradley James|Daisy Head|Oliver Stark|Zuzana Stivínová|Brian Caspe|Jan Nemejovský|Sveta Driga,"Prague, Czech Republic",Terror sobrenatural
The Autopsy of Jane Doe,Ingles,"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",2016-12-21,63.234,3423,6.7,0,5972942,86,"Horror, Mystery",USA,R,André Øvredal,Brian Cox|Emile Hirsch|Ophelia Lovibond|Michael McElhatton|Olwen Catherine Kelly|Jane Perry|Parker Sawyers|Mary Duddy|Mark Phoenix|Sydney,"London, England, UK",Terror psicológico
The Purge: Anarchy,Ingles,"One night per year, the government sanctions a 12-hour period in which citizens can commit any crime they wish -- including murder -- without fear of punishment or imprisonment. Leo, a sergeant who lost his son, plans a vigilante mission of revenge during the mayhem. However, instead of a death-dealing avenger, he becomes the unexpected protector of four innocent strangers who desperately need his help if they are to survive the night.",2014-07-17,61.71,5695,6.7,9000000,111928365,104,"Horror, Thriller",USA,R,James DeMonaco,Frank Grillo|Carmen Ejogo|Zach Gilford|Kiele Sanchez|Zoë Soul|Justina Machado|John Beasley|Jack Conley|Noel Gugliemi|Castulo Guerra|Michael Kenneth Williams|Edwin Hodge|Lakeith Stanfield|Roberta Valderrama|Niko Nicotera,"Los Angeles, California, USA",Slasher
Alone,Ingles,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her.",2020-09-10,61.413,474,6.3,0,0,98,"Horror, Thriller",India,NOT RATED,Bhushan Patel,Bipasha Basu|Karan Singh Grover|Sulabha Arya|Zakir Hussain|Neena Gupta|Nilima Priya|Sanjay Sharma,Desconocido,Slasher
Terrifier,Ingles,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",2016-10-15,60.726,612,6.5,100000,0,84,"Horror, Thriller",USA,NOT RATED,Damien Leone,Jenna Kanell|Catherine Corcoran|Margaret Reed|Katie Maguire|Erick Zamora|Pooya Mohseni|Sylvia Ward|Gino Cafarelli|David Howard Thornton|Samantha Scaffidi|Julie Asriyan|Clifton Dunn|Michael Leavy|Joe Patrick Marshall|Steven Della Salla,Desconocido,Slasher
Wrong Turn 6: Last Resort,Ingles,"A sudden and mysterious inheritance brings Danny and his friends to Hobb Springs, a forgotten resort deep in the West Virginia hills. Hobb Springs is being looked after under the watchful care of Jackson and Sally, a socially awkward couple who introduce Danny to the long lost family he's never known. A clan by the name of Hillicker. But soon Danny learns his relatives have a different way of living, that for generations, the Hillickers have observed ancient traditions rooted in cannibalism and other taboo rituals.",2014-08-22,60.624,664,5.3,1200000,0,91,Horror,USA,R,Valeri Milev,Anthony Ilott|Chris Jarvis|Aqueela Zoll|Sadie Katz|Rollo Skinner|Billy Ashworth|Harry Belcher|Joe Gaminara|Roxanne Pallett|Radoslav Parvanov|Danko Jordanov|Asen Asenov|Kicker Robinson|Talitha Luke-Eardley|Luke Cousins,Bulgaria,Terror puro
The Cabin in the Woods,Ingles,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",2012-04-12,57.429,6741,6.6,30000000,71041255,95,"Fantasy, Horror",USA,R,Drew Goddard,Kristen Connolly|Chris Hemsworth|Anna Hutchison|Fran Kranz|Jesse Williams|Richard Jenkins|Bradley Whitford|Brian White|Amy Acker|Tim DeZarn|Tom Lenk|Dan Payne|Jodelle Ferland|Dan Shea|Maya Massar,"British Columbia Institute of Technology - Aerospace Technology Campus, 3800 Cessna Drive, Richmond, British Columbia, Canada",Terror sobrenatural
Veronica,Español,"Madrid, June 1991. After celebrating a session of Ouija with her friends, Verónica is besieged by dangerous supernatural presences that threaten to harm her entire family.",2017-08-25,56.39,1474,6.2,0,0,105,Horror,Spain,NOT RATED,Paco Plaza,Sandra Escacena|Bruna González|Claudia Placer|Iván Chavero|Ana Torrent|Consuelo Trujillo|Ángela Fabián|Carla Campra|Chema Adeva|Miranda Gas|Luis Rallo|Nayara Feito|Carlos Cristino|Gema Matarranz|Samuel Romero,Desconocido,Terror puro
Texas Chainsaw 3D,Ingles,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",2013-01-03,55.817,1346,5.5,10000000,0,92,"Horror, Thriller",USA,R,John Luessenhop,Alexandra Daddario|Dan Yeager|Trey Songz|Scott Eastwood|Tania Raymonde|Shaun Sipos|Keram Malicki-Sánchez|James Macdonald|Thom Barry|Paul Rae|Richard Riehle|Bill Moseley|Gunnar Hansen|David Born|Sue Rock,"Cargill Park-7700 Lotus Lane, Shreveport, Lousiana, USA",Slasher
Don't Breathe,Ingles,A group of teens break into a blind man's home thinking they'll get away with the perfect crime. They're wrong.,2016-06-08,53.069,6387,7.0,9900000,159047649,89,"Horror, Thriller",USA,R,Fede Alvarez,Stephen Lang|Jane Levy|Dylan Minnette|Daniel Zovatto|Emma Bercovici|Franciska Töröcsik|Christian Zagia|Katia Bokor|Sergej Onopko|Olivia Gillies|Dayna Clark|Athos|Astor|Nomad,"Stern Film Studio, Pomáz, Hungary",Slasher
Knock Knock,Ingles,"When a devoted husband and father is left home alone for the weekend, two stranded young women unexpectedly knock on his door for help. What starts out as a kind gesture results in a dangerous seduction and a deadly game of cat and mouse.",2015-06-26,52.877,2621,5.3,2500000,6341684,99,"Drama, Horror, Thriller",USA,NOT RATED,Tobias Canto Jr.,Saul Arteta|Rachel Atterson|Lucas Ayoub|Jennifer Bennett|Sisi Berry|Joe Bragel|Eddie Canto|Kenneth Fillmore|Ruth Hall|Chuk Hell|Leia Organa McLean|Jessica Polk|Kerry Tartack,"Austin, Texas, USA",Terror psicológico
It Follows,Ingles,"When carefree teenager Jay sleeps with her older boyfriend for the first time, she learns that she is the latest recipient of a fatal curse that is passed from victim to victim via sexual intercourse. Death, Jay learns, will creep inexorably toward her as either a friend or a stranger. Jay's friends don't believe her seemingly paranoid ravings, until they too begin to see the phantom assassins and band together to help her defend herself.",2014-09-24,50.294,5456,6.6,2000000,14674076,101,"Horror, Mystery",USA,R,David Robert Mitchell,Bailey Spry|Carollette Phillips|Loren Bass|Keir Gilchrist|Maika Monroe|Lili Sepe|Charles Gertner|Debbie Williams|Olivia Luccardi|Jake Weary|Daniel Zovatto|Ruby Harris|Leisa Pulido|D.J. Oliver|Linda Boston,"Michigan, USA",Terror psicológico
Smiley,Ingles,"After learning of an urban legend in which a demented serial killer named SMILEY can be summoned through the internet, mentally fragile Ashley must decide whether she is losing her mind or becoming Smiley's next victim.",2012-10-12,50.224,330,4.4,0,0,95,Horror,USA,R,Michael J. Gallagher,Caitlin Gerard|Melanie Papalia|Shane Dawson|Andrew James Allen|Liza Weil|Roger Bart|Keith David|Toby Turner|Michael Traynor|Jana Winternitz|Nikki Limo|Steve Greene|Richard Ryan|DeStorm Power|Jason Horton,"Glendora, California, USA",Terror puro
Containment,Ingles,Neighbors in a block wake one morning to find they have been sealed inside their apartments. Can they work together to find out why? Or will they destroy each other in their fight to escape?,2015-07-09,50.172,156,5.9,0,0,77,"Horror, Science Fiction, Thriller",USA,NOT RATED,Neil Mcenery-West,Louise Brealey|Billy Postlethwaite|Lee Ross|Pippa Nixon|Sheila Reid|Penny Judd|Jill Buchanan|Andrew Leung|Rob Rackstraw|Christos Lawton|Michael Chapman|Walter Hendrix III|Gabriel Senior|Claire Greasley|Hannah Chalmers,"Southampton, Hampshire, England, UK",Terror de ciencia ficción
Evil Dead,Ingles,"Mia, a young woman struggling with sobriety, heads to a remote cabin with a group of friends where the discovery of a Book of the Dead unwittingly summon up dormant demons which possess the youngsters one-by-one.",2013-04-05,49.982,3758,6.5,17000000,97542952,96,Horror,USA,R,Fede Alvarez,Jane Levy|Shiloh Fernandez|Lou Taylor Pucci|Jessica Lucas|Elizabeth Blackmore|Phoenix Connolly|Jim McLarty|Sian Davis|Stephen Butterworth|Karl Willetts|Randal Wilson|Rupert Degas|Bob Dorian|Ellen Sandweiss|Inca,"Muriwai Beach, Woodhill Forest, Woodhill, Auckland, New Zealand",Terror puro
I Spit on Your Grave 2,Ingles,"Naturally beautiful, Katie has just settled into New York where she, like many other young women, is trying to make it as a model. But what starts out as an innocent and simple photo shoot soon turns into something disturbingly unthinkable! Raped, tortured and kidnapped to a foreign country, Jessica is buried alive and left to die. Against all odds, she manages to escape. Severely injured, she will have to tap into the darkest places of the human psyche to not only survive, but to exact her revenge…",2013-08-25,49.755,1043,6.3,0,678604,106,"Crime, Horror, Thriller",Japan,R,Steven R. Monroe,Jemma Dallender|Joe Absolom|Yavor Baharov|George Zlatarev|Mary Stockley|Valentine Pelka|Aleksandar Aleksiev|Peter Silverleaf|Michael Dixon|Kacey Clarke|Dimo Alexiev|Ivan Ivanov|Krasimir Ortakchiev,"Sofia, Bulgaria",Slasher
Insidious: Chapter 3,Ingles,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'.",2015-05-28,48.653,2833,6.3,10000000,104303851,97,"Drama, Horror, Thriller",USA,PG-13,Leigh Whannell,Dermot Mulroney|Stefanie Scott|Angus Sampson|Leigh Whannell|Lin Shaye|Tate Berney|Michael Reid MacKay|Steve Coulter|Hayley Kiyoko|Corbett Tuck|Tom Fitzpatrick|Tom Gallop|Jeris Poindexter|Ele Keats|Phyllis Applegate,"929 South Broadway, Downtown, Los Angeles, California, USA",Terror psicológico
