original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,titulos minuscula,Title,Genres,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Filming Locations,Budget
Inside Scarlett,Inside Scarlett,en,"Scarlett, a neglected, agoraphobic girl who has lived alone since she was a child, suddenly finds herself pregnant. When she has no recollection of how this happened, she tailspins into a complete mental breakdown.",,2016-04-21,,0.6,5,6.2,0,0,89,Released,False,,"Comedy, Horror",,,insidescarlett,Inside Scarlett, Comedy| Drama| Horror| Thriller,21-Apr-16,USA,NOT RATED,5.4,89 min,"Directed by Carter Mays. With Natassia Halabi, Troy Adashun, Kevin Flood, Isabelle Gardo. Scarlett, a neglected agoraphobic girl who has lived alone since she was a child, suddenly finds herself pregnant and she has no recollection of how this happened, which tailspins her into a complete mental breakdown. One of her stuffed animal toys, 'Chicken', starts talking to her and she becomes convinced that the toy is the father of her child. As Scarlett's hallucinations grow to an ...",Natassia Halabi|Troy Adashun|Kevin Flood|Isabelle Gardo|Billy Helmstetler|Joseph Lallement|Arielle Ray|Annie Read|Emmanuelle Weisbach,English,"California, USA",
Heavy Makeup,Heavy Makeup,en,"After a series of brutal murders occur in their Hollywood neighborhood, two women search for clues to uncover the identity of a serial killer who is targeting struggling young actresses.",Fame Kills!,2016-11-10,,0.6,1,0.5,0,0,110,Released,False,,"Crime, Drama, Horror, Mystery, Thriller",,,heavymakeup,Heavy Makeup, Horror| Mystery| Thriller,30-Oct-15,USA,,8.0,120 min,"Directed by Chris Morrissey. With Share Cherrie, Juli Kreko, Whitney Quinlan, Gia Franzia. After a series of brutal murders occur in their quiet Hollywood neighborhood, two women search for clues to uncover the identity of a serial killer who is targeting struggling young actresses.",Share Cherrie|Juli Kreko|Whitney Quinlan|Gia Franzia|Jessica Velle|Ophelia Demure|Belle Heflin|Rachel Alig|Brittany Andrews|Pedro Diaz|Anthony Carrillo|Zens Varoni|Angelie Hollywood|Patrick Moreira|J. Daniel Mesta,English,"Los Angeles, California, USA",
Escaping the Dead,Escaping the Dead,da,"Inspired by the face eating incident in Florida a few years back, the film has its starting point in a typical day for the lead character, David. David is the local marihuana pusher, but he is the kind of dealer that smokes more than he sells. The country has been hit by a new deathdrug and when David and his partner in crime, Ahmir, are offered some exceptionally cheap cocaine they see it as an opportunity to earn big money to pay their debt. The cocaine turns out to have a terrible side effect that creates a giant zombie outbreak that spreads across the entire Copenhagen. In the film we follow David and his bloody fight out of the city.",Something is rotten in the state of Denmark...,2017-01-01,,0.6,0,0.0,0,0,76,Released,False,,Horror,,,escapingthedead,Escaping the Dead, Horror,17-Aug-17,USA,NOT RATED,7.3,,"Directed by Martin Sonntag. With Bastian Brinch Pedersen, Kim Sønderholm, Sune Rolf Jensen, Heine Sørensen. Inspired by the face eating incident in Florida a few years back, the film has its starting point in a typical day for the lead character, David. David is the local marihuana pusher, but he is the kind of dealer that smokes more than he sells. The country has been hit by a new deathdrug and when David and his partner in crime, Ahmir, are offered some exceptionally cheap cocaine they see it as an ...",Bastian Brinch Pedersen|Kim Sønderholm|Sune Rolf Jensen|Heine Sørensen|Lone Fleming|Lloyd Kaufman|Rama Øzel|Sead Sainoski|Hervé Toure|Daniel Hutera|Hassaan Hamza Waseem|David Munnecke|Umut Kilavuz|Lianne Hattel|Ahmed Hussein,Danish,"Værløse, Sjælland, Denmark",
Breath of Hate,Breath of Hate,en,"One last job and Love is out of the erotic escort business. Unfortunately, that final job is for a trio of escaped mental patients who are looking to change the world. One victim at a time.",Dirty Horror Romance For The Soul,2011-06-10,/wZU62nsONGktywjqzuV5d7JsxF9.jpg,0.6,0,0.0,0,0,0,Released,False,,"Drama, Horror, Romance",,,breathofhate,Breath of Hate, Drama| Horror| Romance,2015,USA,,4.5,,"Directed by Sean Cain. With Ezra Buzzington, Jason Mewes, Lauren Walsh, Jack Forcinito. One last job and Love is out of the erotic escort business. Unfortunately, that final job is for a trio of escaped mental patients who are looking to change the world. One victim at a time.",Ezra Buzzington|Jason Mewes|Lauren Walsh|Jack Forcinito|Monique Parent|Timothy Muskatell|Ricardo Gray|Felissa Rose|Alexis Zibolis|Jeanine Daniels|Trista Robinson|Ted Prior|Tommy Pistol|Joanna Angel|Alissa Koenig,English,"Los Angeles, California, USA",
Dug Up,Dug Up,en,Chaos takes over a rural town after a trio of residents accidentally conjure a zombie outbreak.,Some Things Are Better Left Buried,2013-10-24,/p9AgfIoNH20LjiCBT3BjBARqlvf.jpg,0.6,0,0.0,0,0,0,Released,False,/mJhk0FdFsNehZ7ce7Qe5X6C5ZJ6.jpg,"Comedy, Horror",,,dugup,Dug Up, Comedy| Horror,24-Oct-13,USA,R,6.6,84 min,"Directed by Dustin Rikert. With Paul McCarthy-Boyington, William Shockley, Greg Travis, Nicole Herold. Chaos takes over a rural town after a trio of residents accidentally conjure a zombie outbreak.",Paul McCarthy-Boyington|William Shockley|Greg Travis|Nicole Herold|Sarra Kaufman|Jeffery Dean|Jordann Beal|Ezra Buzzington|Sheree J. Wilson|Vince Morella,English,"South Royalton, Vermont, USA",
In a Lonely Place,In a Lonely Place,en,"Thomas believes that only the knowledge of our identity can defeat death and give immortality to those who own it. This is the great gift of love that he has planned for Teresa, the girl he has always secretly loved. Everything is ready in the big abandoned hotel. He is waiting for her, smiling, illuminated by the light of the sunset. But for Teresa the knowledge and discovery of her identity will be frightening, distressing, painful.",This movie is all about love,2016-01-08,,0.6,3,3.5,0,0,0,Released,False,,Horror,,,inalonelyplace,In a Lonely Place, Horror,13-Oct-16,Italy,,6.2,,"Directed by Davide Montecchi. With Luigi Busignani, Lucrezia Frenquellucci. ""In a lonely place"" is about love, about passion, about obsession. Thomas believes that only the knowledge of our identity can defeat death and give immortality to those who own it. This is the great gift of love that he has planned for Teresa, the girl he has always secretly loved. Everything is ready in the big abandoned hotel. He is waiting for her, smiling, illuminated by the light of the ...",Luigi Busignani|Lucrezia Frenquellucci,English,,
Visions,Visions,en,A man has troubling visions that lead him to suspect he may be a killer who is murdering hobos around town.,When reality and imagination become one.,1989-01-01,,0.6,0,0.0,0,0,90,Released,False,,"Horror, Thriller",,,visions,Visions, Horror| Mystery,19-Jan-16,USA,R,5.3,82 min,"Directed by Kevin Greutert. With Isla Fisher, Anson Mount, Gillian Jacobs, Joanna Cassidy. After moving to a vineyard to start a new life with her husband, a pregnant woman begins to experience terrifying visions.",Isla Fisher|Anson Mount|Gillian Jacobs|Joanna Cassidy|Eva Longoria|Jim Parsons|Michael Villar|Bryce Johnson|John de Lancie|Annie Tedesco|Roberto 'Sanz' Sanchez|Jeff Branson|Christine Meier|Chloe Meier|Elizabeth Rowin,English|Spanish,"Agoura, California, USA",
The Witching,The Witching,en,This is Gordon's re-edit of his 1972 horror film Necromancy starring Orson Welles and Pamela Franklin. This version features brand new scenes (mostly to up to exploitation factor) filmed in 1983 and added by Gordon himself. It also features a brand new score and other changes and the whole thing differs greatly from the original 82-minute theatrical version.,Enter the world of the occult...,1983-11-25,,0.6,0,0.0,0,0,87,Released,False,,Horror,,,thewitching,The Witching, Horror,3-Nov-16,USA,,3.9,80 min,"Directed by Corey Norman. With Jessica Bedell, Ian Carlsen, Joanna Clarke, Jennifer Friend. With Halloween only hours away, the members of a popular podcast, The Witching Hour, gather to swap scary stories in the dark. But they bargain for more than just ratings when they venture to the site where the Woodland Valley Witch was brutally murdered.",Jessica Bedell|Ian Carlsen|Joanna Clarke|Jennifer Friend|Jack Scannell|Beth Somerville|Ellen Elizabeth White,English,,
Warisan,Inheritance,id,"Indri quickly rushes home from abroad when her father suddenly dies. At home, she finds her nursemaid Tuti tied up while her stepmother has gone back to the village. At night, someone is stalking the house. So she suspects that her father’s death was unnatural and her suspicions ring true. Somali, the vice-president in her father’s company, wants to take over the latter’s wealth by colluding with her nursemaid.",,1989-01-01,,0.6,0,0.0,0,0,95,Released,False,,"Action, Horror, Thriller",,,inheritance,Inheritance, Drama| Horror| Mystery| Thriller,2-Jun-17,USA,,7.0,90 min,"Directed by Tyler Savage. With Chase Joliet, Sara Montez, Dale Dickey, Drew Powell. When Ryan mysteriously inherits a house from his biological father, a man he thought long dead, he and his pregnant fiancé travel to the property with high hopes for the future. But curiosity about his deceased father leads Ryan to uncover a dark family history...",Chase Joliet|Sara Montez|Dale Dickey|Drew Powell|Jim Ortlieb|Krisha Fairchild|Tim Abell|Nizhonniya Austin|Jim Bentley|Jake Carpenter|Alex Dobrenko|Murphy Dunne|Olympia Garcia|Paul Henri|Julie Ivey,English,"Malibu, California, USA",
Karva,Karva,kn,"It is a two dimensional story, one trying to unveil an age old unknown mystery, and another experiencing the existence of the unknown. Do these stories meet? What happens to the fate of those involved with the unknown ?",,2016-05-27,,0.6,7,5.4,0,0,108,Released,False,,"Horror, Thriller",,,karva,Karva, Horror| Thriller,27-May-16,India,,7.6,108 min,"Directed by Navaneeth. With Thilak Shekar, Devaraj, Anisha Ambrose, R.J. Rohith. It is a two dimensional story, one trying to unveil an age old unknown mystery, and another experiencing the existence of the unknown. Do these stories meet? What happens to the fate of those involved with the unknown ?",Thilak Shekar|Devaraj|Anisha Ambrose|R.J. Rohith|Anu Poovamma|Vijay Chendoor|Srinivasa Prabhu|Padmaja Rao|Mandeep Roy|Jayasheela|Dr. Sanjay|K.P. Sridhar|Rockline Sudhakar,Kannada,"Bangalore, Karnataka, India","  INR 15,000,000  "
All Hallows' Eve,All Hallows' Eve,en,"October 31st begins like any other day. Adults go to work. Children go to school. But when night falls, the real party begins. That's when a young group of friends get together to tell some of the most twisted and terrifying stories imaginable. But as their stories begin to unfold, an unexpected dark side to their personalities is revealed...",,2007-12-03,,0.6,3,4.3,0,0,73,Released,False,,Horror,,,allhallows'eve,All Hallows' Eve, Horror| Thriller,29-Oct-13,USA,UNRATED,4.9,83 min,"Directed by Damien Leone. With Katie Maguire, Catherine A. Callahan, Marie Maser, Kayla Lian. A babysitter finds a VHS tape which features various sinister murders performed by a psychotic clown.",Katie Maguire|Catherine A. Callahan|Marie Maser|Kayla Lian|Mike Giannelli|Sydney Freihofer|Cole Mathewson|Michael Chmiel|Marissa Wolf|Minna Taylor|Brandon deSpain|Daniel Rodas|Anna Maliere|Eric Diez|Jennifer Castellano,English,,
Absence,Absence,en,A short film about the grieving process starring Paul McGann.,,2015-10-16,,0.6,4,7.0,0,0,3,Released,False,,"Drama, Horror",,,absence,Absence, Horror| Sci-Fi| Thriller,5-Jul-13,USA,NOT RATED,4.1,84 min,"Directed by Jimmy Loweree. With Erin Way, Eric Matheny, Ryan Smale, Stephanie Scholz. After her unborn baby is snatched from her womb, Liz and her husband take a vacation to help them overcome the horrifying and mysterious loss. Her brother documents the trip as Liz continues to be terrorized by an unknown force.",Erin Way|Eric Matheny|Ryan Smale|Stephanie Scholz|Tamra Meskimen|David Paladino|Lee Burns|Linda Paice|Michael Angelo Covino|Don Moss,English,,
Den gamle och monstret,Hermit: Monster Killer,sv,"This creature feature tells the story of a an old grumpy man (the hermit) on revenge, a pack of hunters and a rugby gorilla mascot running for his life, with one thing in common: an alien being that has crashed to earth, eating anyone in its path. Now it's up to the heroes to stop this menacing creature at all cost.",It Came Hungry From Space To Sweden,2016-05-26,/AfJxm0p1zZJzGNX1CaP0jbppw0N.jpg,0.6,0,0.0,0,0,82,Released,False,,"Action, Comedy, Horror, Science Fiction",,,hermitmonsterkiller,Hermit: Monster Killer, Adventure| Comedy| Horror,15-Oct-16,Mexico,,6.0,,"Directed by Ola Paulakoski. With Börje Lundberg, Markus Svahn, Tommy Baso Nordin, Johannes Söderqvist. This creature feature tells the story of a an old grumpy man (the hermit) on revenge, a pack of hunters and a rugby gorilla mascot running for his life, with one thing in common: an alien being that has crashed to earth, eating anyone in its path. Now it's up to the heroes to stop this menacing creature at all cost.",Börje Lundberg|Markus Svahn|Tommy Baso Nordin|Johannes Söderqvist|Fredrik Weileby|Anders Hasselroth|Henrik Sjöman|Ola Paulakoski|Krister Brandling|Rebecca Vilagos|Gustaf Karlsson|Nikolaj Vind Sorber|Anette Halvorsen|Christian De Flon|Simo Paulakoski,Swedish,"Värmlands län, Sweden","  SEK 50,000  "
Rostros,Faces,es,Psychological horror.,,1978-06-19,/gUuPkX7omEMIGuAm064MCSTYV1F.jpg,0.6,1,2.0,0,0,88,Released,False,,Horror,,,faces,Faces, Horror| Thriller,10-Oct-14,USA,,7.1,,"Directed by Tom Ryan. With Tom Ryan, Paul Gmitter, Edward X. Young, Deana Demko. Frank lived alone. He had no job, no friends and no girlfriend. Then Charlie came along and everything changed.",Tom Ryan|Paul Gmitter|Edward X. Young|Deana Demko|Bradley Creanzo|Joe Parascand|Jason Greco|Caroline Pozycki|Tom Schorr|Eddie McGhie|Michele O'Reilly|Andrew LaBruno|Rodrigo Bustamante|Michelle Rosado|Patrick Devaney,English,"The Mojo Lounge, Jersey City, New Jersey, USA","$1,000 "
Delusion,Delusion,es,Three years after the death of Frank's wife a mysterious woman appears. As their attraction grows Frank struggles with reality and his loss. He tries to start over not knowing his choices could lead him to his own downfall.,,2016-10-17,/yIU8XDnf5ObvpZoAzv85V55jzhG.jpg,0.6,2,1.5,0,0,85,Released,False,,"Drama, Horror, Mystery",,,delusion,Delusion, Drama| Horror| Mystery,17-Oct-16,USA,,6.0,85 min,"Directed by Christopher Di Nunzio. With David Graziano, Jami Tennille, Irina Peligrad, Kris Salvi. Three years after the death of Frank's wife a mysterious woman appears. As their attraction grows Frank struggles with reality and his loss. He tries to start over not knowing his choices could lead him to his own downfall.",David Graziano|Jami Tennille|Irina Peligrad|Kris Salvi|Justin Thibault|Carlyne Fournier|Renee Lawrie|Jessy Rowe|Christine Perla|Ronnie Oberg|Shereen Brown|Pete Premo|Denise Cascione|Irina Khaykin|Adam Khaykin,English,"Somerville, Massachusetts, USA",
Where The Devil Dwells,Where The Devil Dwells,en,"In 1989, the schizophrenic son of a serial killer is remanded to house arrest after attacking a man, but when his allegedly-slain father reappears to him and threatens to resume killing, he must grapple with the question of what is real and how he will survive.",,2014-01-01,/djSIXITnGEQLNwTXrWP2oYHTmYk.jpg,0.6,5,5.4,0,0,81,Released,False,,Horror,,,wherethedevildwells,Where the Devil Dwells, Horror| Thriller,12-Apr-16,USA,,5.4,81 min,"Directed by Marc-Andre Samson. With Walter Peña, Scott Anthony Leet, Alexis Raben, David O'Hara. In 1989, the schizophrenic son of a serial killer is remanded to house arrest after attacking a man, but when his allegedly-slain father reappears to him and threatens to resume killing, he must grapple with the question of what is real and how he will survive.",Walter Peña|Scott Anthony Leet|Alexis Raben|David O'Hara|Rob Macie|Andrew Patrick Ralston|Barry Saltzman|Greg Bryan|Michael Simon|Brandon C. Greene|Nicole Pierce|Marissa Nans|Britt Fiola|Farisai Kambarami|Matt Grady,English,,"$50,000 "
Curse of the Phoenix,Curse of the Phoenix,en,A young man becomes haunted by a wraithe after becoming obsessed with a woman's death from 160 years ago.,Stay away from the water. A haunting love story.,2014-01-01,/kHfDnQatKAmSp5RDyzJxtmATAQq.jpg,0.6,2,7.5,0,0,92,Released,False,,Horror,,,curseofthephoenix,Curse of the Phoenix, Horror,2014,UK,,6.2,92 min,"Directed by Robert Young. With Charlotte Badham, Josie Connor, Kevin Horsham, Fawn James. A young man, Josh, is haunted by a strange apparition - The Wraithe. She believes Josh is her lost true love and tries to claim him for herself, putting Josh and any woman close to him, in mortal danger.",Charlotte Badham|Josie Connor|Kevin Horsham|Fawn James|Kevin Johnson|James Kennan|Sheena May|Edward Mitchell|Lewis Peek|Patrick Romer|Michael Sani|Joseph Sentance|Lizzie Stables|Robyn Steyn|Louisa Wilde,English,"Plymouth, Devon, England, UK",
Doc. 33,Doc. 33,it,"In 1998, four Italian filmmakers disappear in the Austrian Alps while shooting a documentary. Only now their footage has been made public.",,2012-01-01,/6ya43UhPDMD7g2R3Yggz4XDaIuP.jpg,0.6,5,3.2,2100,0,63,Released,False,,Horror,,,doc.33,Doc. 33, Horror| Mystery| Thriller,1-Jan-12,Italy,R,6.6,63 min,"Directed by Giacomo Gabrielli. With Veronica Delmarco, Carla Vargiu, Diego Cavada, Jacopo Bellante. In 1998, four Italian filmmakers disappear in the Austrian Alps while shooting a documentary. Only now their footage has been made public.",Veronica Delmarco|Carla Vargiu|Diego Cavada|Jacopo Bellante|Maria Vittoria Vida|Mario Vanzo|Federica Gabrielli|Giuliano Varesco|Luigi Defrancesco|Patrizia Vargiu|Tommaso Bellante|Vigilio Gabrielli,Italian|German,"Anterivo, Bolzano, Trentino Alto-Adige, Italia","  €1,500  "
Sargad,Sargad,sv,"Sargad is about a young woman, Elina, that drives to a cabin with her mom and younger sister to spread her dad's ashes. They encounter three brothers that will make their weekend a living hell.",,2017-08-04,/ghlxxWle2TphQrryLHab8tR8XCK.jpg,0.6,3,6.0,3000,0,94,Released,False,/3HteTRNfYTXer1lvR0gUJ0Z382s.jpg,"Drama, Horror",,,sargad,Sargad, Horror,4-Aug-17,Sweden,,7.8,,"Directed by Andres R. Ramos. With Sarah Giercksky, Xander Turian, Krister Twizz Forsberg, Tindra Hedlund. Sargad is about a young woman, Elina, that drives to a cabin with her mom and younger sister to spread her dad's ashes. They encounter three brothers that will make their weekend a living hell.",Sarah Giercksky|Xander Turian|Krister Twizz Forsberg|Tindra Hedlund|Jesper Hell|Alicia Henriksson|Birgitta Nord|Oscar Rusanen,Swedish,,"$3,000 "
I Am Alone,I Am Alone,en,"In an attempt to cope with his loneliness, Adam tries to build his own Frankenstein's monster.",,2016-04-26,,0.6,0,0.0,150,0,10,Released,False,,"Comedy, Drama, Horror, Science Fiction",,,iamalone,I Am Alone, Drama| Horror| Sci-Fi,12-Sep-15,USA,NOT RATED,6.4,88 min,"Directed by Robert A. Palmer. With Gareth David-Lloyd, Gunner Wright, Katy Bodenhamer, Marshal Hilton. An unknown virus begins to spread infecting the local population almost instantly, but footage found by the CDC of one man's survival may just help them find a cure.",Gareth David-Lloyd|Gunner Wright|Katy Bodenhamer|Marshal Hilton|Robert A. Palmer|Dalyn Pearson|Thomas Loureiro|Michael A. Weiss|Dave Frank|Gary Bean|John Best|Valor Morgan|Paul Southern|Joe Orwan|Suzette Owen,English,"Montrose, Colorado, USA",
The Fiancé,The Fiancé,en,"When a beautiful bride-to-be is bitten by the legendary creature, Bigfoot, she becomes a brutal force of nature hellbent on breaking her engagement - and her fiancé.",,2016-11-11,/pLItHdzRDmBCoCpnEHHnsWcz12l.jpg,0.6,2,1.5,0,0,0,Released,False,/kvAAjUvr9LFV4JlakoPUAEsL1ma.jpg,Horror,,,thefiancé,The Fiancé, Horror,11-Nov-16,USA,UNRATED,3.6,79 min,"Directed by Mark Allen Michaels. With Carrie Keagan, Douglas Tait, Danni DanDan Gadigan, Staci Layne Wilson. When a beautiful bride-to-be is bitten by the legendary creature, Bigfoot, she becomes a brutal force of nature hellbent on breaking her engagement - and her fiancé.",Carrie Keagan|Douglas Tait|Danni DanDan Gadigan|Staci Layne Wilson|Tony Snegoff|Kate Rees Davies|Curt Lambert|Aaron Kai|Dallas Valdez|Mattison Walker|Isaiah Waldron|Michael Coleman|Robert Acres|Seamus Cattaneo|Kip Kincaid,English,"Topanga Canyon, California, USA",
Theta States,Theta States,en,"Danny is a long-term insomniac. He comes across an ad for the Audible Lucid Perceptions sleep clinic, run by the peculiar Dr. Zovnig, and goes in for a consultation. The doctor gives him a small audio device, which generates brain-frequency-altering audio waves, intended to hypnotize Danny into a dream state. Upon the first treatment, Danny is cured and is now sleeping better than he ever has in his life. Danny starts to realize that although he may be able to sleep again, there could be something wrong. Nightmares haunt his sleep, with recurring hallucinations and blackouts while he's awake. Is it all a side effect of the treatment, or is there some evil force at work, affecting Danny's every move?",Sometimes Your Nightmares Become Your Reality,2017-01-13,/1hq706cufjt7fMFvk2lzQh805TB.jpg,0.6,1,2.0,0,0,0,Released,False,,Horror,,,thetastates,Theta States, Horror,13-Jan-17,USA,,8.2,,"Directed by Manny Serrano. With Tom Ryan, Erin Brown, Kathryn Lill, Tom Coll. Danny is a long-term insomniac. He comes across an ad for the Audible Lucid Perceptions sleep clinic, run by the peculiar Dr. Zovnig, and goes in for a consultation. The doctor gives him a small audio device, which generates brain-frequency-altering audio waves, intended to hypnotize Danny into a dream state. Upon the first treatment, Danny is cured and is now sleeping better than he ever has in ...",Tom Ryan|Erin Brown|Kathryn Lill|Tom Coll|Deana Demko|Bradley Creanzo|Patrick Devaney|Justin Dizon|Christopher J. Murphy|Henry William Oelkers|Samantha Quintana|Loretta Vendetta,English,,
Valentine DayZ,Valentine DayZ,en,"Middle-aged Max and Sara meet and fall for each other in Palm Springs, but their love story is cut short due to a sudden zombie outbreak. Max is not as mild-mannered as he appears, and has a history involving government-sanctioned hits, but one zombie he isn't able to kill is his darling Sara.",,2018-09-25,/rBHVAbUebr5v0vB4WJKjAssxbnK.jpg,0.6,4,6.9,0,0,79,Released,False,,Horror,,,valentinedayz,Valentine DayZ, Horror,2017,USA,,,,"Directed by Mark Allen Michaels. With Dallas Valdez, Carrie Keagan, Robert Allen Mukes, Tatiana Romao.",Dallas Valdez|Carrie Keagan|Robert Allen Mukes|Tatiana Romao|Diane Ayala Goldner|Kate Rees Davies|Johnny White|Dan Gruenberg|Curt Lambert|Aaron Kai|Christopher Blevins|Mattison Walker|Gary D. Lopez|Buddy Clements|John J. Tierney,English,"Santa Monica, California, USA",
3 Dead Trick or Treaters,3 Dead Trick or Treaters,en,"After stumbling upon the graves of three murdered trick or treaters, a small town paperboy discovers a series of handwritten horror stories tacked to the children's headstones. Penned by a deranged pulp author driven mad by his craft, the stories chronicle grisly tales of Halloween rites, rituals and traditions. Absent of dialogue and heavy on atmosphere, 3 Dead Trick or Treaters is a horror anthology unlike any you've seen before.",,2016-11-26,/laLNO0uKWMlpuLisd8AgjtsFs63.jpg,0.6,2,7.5,0,0,73,Released,False,,Horror,,,3deadtrickortreaters,3 Dead Trick or Treaters, Horror,26-Nov-16,Canada,,7.9,73 min,"Directed by Torin Langen. With Holden Levack, Jeremy Charles Singer, Raven Cousens, Youp Zondag. After stumbling upon the graves of three murdered trick or treaters, a small town paperboy discovers a series of handwritten horror stories tacked to the children's headstones. Penned by a deranged pulp author driven mad by his craft, the stories chronicle grisly tales of Halloween rites, rituals and traditions. Absent of dialogue and heavy on atmosphere, 3 Dead Trick or Treaters is a horror ...",Holden Levack|Jeremy Charles Singer|Raven Cousens|Youp Zondag|Emma McDonald|Rebecca McAulay|Mickey Conde|Erin Stuart|Rebeca MacKinnon|Eric Repke|Maxwell Lantz|Olivia Susan Pluard|Mike McCarville|Andrew Smart|Lindsay Stewart,English,"Kitchener, Ontario, Canada",
Rumah Malaikat,Rumah Malaikat,id,"Alexandra (Mentari de Marelle), student, became a substitute teacher at an orphanage called House Angels. Alexandra replace Irma, who no longer hold teaching because it is always plagued by the ghost of a small child. Alexandra Arrival get bad reception of the children home. Alexandra often intimidated. Alexandra denounce acts of children, but no one recognizes. Alexandra did not know that what bothers him is the real ghost.",,2016-11-24,,0.6,2,5.3,0,0,93,Released,False,,Horror,,,rumahmalaikat,Rumah Malaikat, Horror,24-Nov-16,Indonesia,,6.5,,"Directed by Billy Christian. With Mentari De Marelle, Agung Saga, Roweina Umboh, Dayu Wijanto.",Mentari De Marelle|Agung Saga|Roweina Umboh|Dayu Wijanto,Indonesian,,"  IDR 3,000,000,000  "
Take Back the Knife,Take Back the Knife,en,Three survivors are stalked by someone connected to their past. This time they're ready for a fight.,Place your bets.,2015-01-31,,0.6,0,0.0,0,0,80,Released,False,,Horror,,,takebacktheknife,Take Back the Knife, Action| Comedy| Horror,31-Jan-15,USA,,,80 min,"Directed by Matt Storc. With Amy C. Wilson, Emily Rochester, Ashley Nickell, Peter Maniscalco. Three survivors are stalked by someone connected to their past. This time they're ready for a fight.",Amy C. Wilson|Emily Rochester|Ashley Nickell|Peter Maniscalco|Elizabeth McBryde|Zac Chamberlin|Chase Laxner|Kyle Nystrom|Matt Storc|Ryan P.D. Davis,English,"Naperville, Illinois, USA",
ഗേൾസ്,Girls,ml,"A group of friends who are doing a diploma course at a Film Institute. As part of their studies, they have to make a movie and the intriguing incidents during their film shoot at the high range form the plot.",Story never came on screen,2016-10-28,/gm7wV245tDhTBThDLNk4E6VeFtX.jpg,0.6,1,4.0,0,0,125,Released,False,/5ZAN7FoXceuQyeyCBRzIxNxSX4C.jpg,"Horror, Thriller",,,girls,Girls, Horror| Thriller,28-Oct-16,India,,3.2,132 min,"Directed by Thulasidas. With Nadia Moidu, Iniya, Archana Suseelan. A group of friends who are doing a diploma course at a Film Institute. As part of their studies, they have to make a movie and the intriguing incidents during their film shoot at the high range form the plot.",Nadia Moidu|Iniya|Archana Suseelan,Malayalam|Tamil,,
Crush the Skull,Crush the Skull,en,"A young couple's car breaks down on a desolate road. When a stranger shows up out of nowhere to assist them, all signs point to one conclusion; the stranger is most likely a serial killer.",,2010-10-20,,0.6,4,5.8,0,0,10,Released,False,,"Comedy, Horror",,,crushtheskull,Crush the Skull, Comedy| Horror| Thriller,11-Jun-15,USA,,5.6,80 min,"Directed by Viet Nguyen. With Walter Michael Bost, Tim Chiou, Chris Dinh, Michelle Grondine. A couple of master thieves find themselves trapped within a house they intended to rob, only to discover they've inadvertently wandered into the lair of a deranged serial killer.",Walter Michael Bost|Tim Chiou|Chris Dinh|Michelle Grondine|Lincoln Hoppe|Nathan Moore|Katrina Nelson|Justin Ray|Lauren Reeder|Chris Riedell|Katie Savoy|Devyn Stokdyk|Leonard Wu|Jerry Ying,English,,
Skookum: The Hunt for Bigfoot,Skookum: The Hunt for Bigfoot,en,"Deep in the Louisiana swamp lives a legend. In the fall of 2013, the legend comes to life. Many have seen, some have heard, and none have forgotten: the giant hairy creature with glowing red eyes that locals refer to as the Beast of Bayou Dorcheat. When the long dormant Bigfoot monster seemingly begins a brutal reign of terror, a glamorous talk show host, Dr. Anna Rock, must leave her highly coveted position to search for her younger sister Megan, a Bigfoot researcher, in the swampy wilderness of northern Louisiana.",,2016-10-09,/g2yiYhTrDbzQ2O1q4DM9CCEz3bT.jpg,0.6,0,0.0,0,0,93,Released,False,,Horror,,,skookumthehuntforbigfoot,Skookum: The Hunt for Bigfoot, Horror,1-Dec-16,USA,,5.3,100 min,"Directed by Jack Skyyler, Rob Gaudet, Alex Zinzopoulos. With Paul Logan, Ashton Leigh, Dianna Renée, Shane Dzicek. Deep in the Louisiana swamp lives a legend. In the fall of 2013, the legend comes to life. Many have seen, some have heard, and none have forgotten: the giant hairy creature with glowing red eyes that locals refer to as the Beast of Bayou Dorcheat. When the long dormant Bigfoot monster seemingly begins a brutal reign of terror, a glamorous talk show host, Dr. Anna Rock, must leave her highly ...",Paul Logan|Ashton Leigh|Dianna Renée|Shane Dzicek|Jeffrey Meldrum|Tom Malloy|David Joseph Martinez|Mike Wooley|Glynn Praesel|Rich Rossi|Josiah Cerio|Brooke Fontana|Nikki Wells|Michael Power|Ginger Cerio,English,"New Orleans, Louisiana, USA","$1,000,000 "
